年龄段,其他年龄填写,行业/专业,学生专业方向,水墨喜好程度,AIGC了解程度,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,系列A最喜欢,系列B最喜欢,综合排序,受欢迎元素,图案应用建议
31-35岁,,教育/科研类,,不太喜欢,有所了解,5,4,3,3,5,2,2,3,4,5,2,4,2,5,3,1,1,2,2,4,2,5,3,3,2,5,3,4,5,4,4,4,4,5,3,5,3,4,3,4,3,5,4,5,4,3,5,5,5,3,"A23,A13,A6,A20,A15","B8,B6","A31,B3,B7",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,艺术史,非常喜欢,完全不了解,5,4,3,3,1,2,3,3,2,4,3,4,1,3,2,4,3,3,5,1,1,4,3,2,3,4,2,3,5,5,5,4,3,5,4,4,3,5,5,4,1,4,3,5,3,4,4,4,4,1,"A26,A8,A18,A33,A32","B9,B4","B12,B7,B9,B14,A29",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
26-30岁,,学生,视觉传达,比较喜欢,听说过，不太了解,4,4,3,1,3,4,3,3,5,4,2,4,3,4,3,2,3,3,3,4,4,3,3,3,3,5,3,2,5,5,5,3,2,4,3,5,1,5,3,5,2,4,3,4,5,1,5,5,4,1,"A9,A17,A15","B4,B14,B11","B12,B9,B5",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,艺术/设计类,,比较喜欢,听说过，不太了解,5,1,2,2,3,3,4,4,2,3,2,2,2,2,3,3,2,5,3,1,2,3,5,3,5,5,3,3,5,4,5,1,3,5,3,4,3,5,3,5,4,4,5,5,2,2,4,3,5,4,"A4,A21,A28,A27","B2,B11,B9","B3,A34,B5,A1",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
31-35岁,,新媒体/互联网类,,比较喜欢,非常了解并关注,5,2,3,3,4,2,4,5,4,4,3,3,4,4,3,4,3,2,3,2,3,1,3,4,3,4,3,2,5,5,5,1,3,5,5,4,3,4,3,4,4,4,3,5,5,3,4,2,4,4,"A35,A29,A21,A1","B4,B6,B2","B14,A1,A30,B1,A26",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
26-30岁,,"文化/创意产业类,时尚/服装类",,一般,听说过，不太了解,5,3,3,3,2,4,4,2,2,1,5,2,3,2,3,4,4,2,3,3,5,2,1,3,2,4,3,4,5,5,5,3,3,5,2,4,3,5,4,4,2,4,2,5,3,4,5,4,5,3,"A5,A7,A2,A31","B13,B1,B10","A34,A31,A30,A26,B3",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
31-35岁,,其他,,一般,完全不了解,5,4,3,2,3,4,1,3,3,3,4,4,3,2,3,3,3,2,3,3,3,3,3,1,5,5,1,3,5,5,5,2,3,5,3,5,2,4,4,5,1,4,4,4,1,2,5,5,5,3,"A22,A34,A16","B13,B10","B3,A26,B9,B14,B12",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,服装设计,一般,非常了解并关注,5,3,2,3,3,4,2,2,3,5,2,5,4,4,1,3,1,3,5,2,3,1,4,2,2,4,4,2,4,4,5,3,4,5,2,5,2,5,3,5,2,4,4,5,1,2,5,4,5,2,"A21,A5,A9,A4","B1,B5,B10","B1,A26,B12,A1,B5",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,数字媒体,一般,非常了解并关注,4,1,3,3,3,4,4,3,5,3,2,5,1,3,3,3,3,2,3,4,2,3,2,4,4,5,2,1,4,4,5,5,3,5,1,5,2,5,1,5,2,4,3,4,3,5,5,4,4,3,"A7,A27,A15,A1","B7,B8,B13","B7,B14,A26,A34",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
20-25岁,,金融/商业类,,一般,有所了解,4,3,3,2,1,4,1,4,2,1,3,3,3,3,2,3,3,3,4,4,3,4,5,3,2,5,2,1,4,5,5,3,5,4,1,5,5,5,1,4,2,4,1,5,3,3,4,1,5,4,"A13,A7,A1,A5","B15,B10","B9,B5,A31",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,时尚/服装类,,非常喜欢,有所了解,5,3,2,3,3,5,2,2,3,3,3,5,4,3,2,3,3,4,5,3,3,1,1,2,1,5,3,3,5,5,5,2,5,4,5,4,3,4,1,5,4,4,3,4,3,5,5,3,4,2,"A29,A12,A16,A9,A3","B3,B5","B1,B5,B9,A34,A31",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
26-30岁,,学生,平面设计,比较喜欢,有所了解,4,1,4,5,2,3,2,5,1,3,4,2,3,1,4,2,5,5,4,3,4,2,3,1,3,5,5,3,5,5,5,3,2,5,3,5,5,5,3,4,2,4,3,5,3,3,4,3,5,4,"A22,A19,A24,A1,A34","B1,B4","B5,A1,B1,A34,A30",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,其他,,一般,非常了解并关注,5,1,3,3,2,5,1,4,3,4,3,2,3,3,4,5,1,3,3,3,5,1,3,3,2,5,1,3,5,4,4,5,5,5,5,4,2,4,4,5,3,5,3,4,2,2,4,3,5,2,"A22,A13,A31","B10,B12,B6","B7,A34,B14,A31,B1",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,艺术/设计类,,一般,完全不了解,4,2,3,2,3,2,3,5,2,5,2,2,3,4,4,4,2,1,2,3,5,5,2,4,3,4,3,3,5,4,5,3,2,4,4,5,4,4,3,4,2,5,3,4,2,3,5,4,5,3,"A3,A32,A15,A1","B12,B4","B7,A30,B12,B3",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,"文化/创意产业类,金融/商业类",,一般,听说过，不太了解,5,1,5,4,4,1,3,1,3,3,4,2,3,2,3,5,4,3,2,3,2,3,2,4,1,4,3,5,5,5,4,2,4,5,3,4,2,5,2,5,5,5,2,4,1,3,5,2,4,1,"A1,A24,A5","B1,B9,B2","A31,B3,A30",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
其他,36岁,文化/创意产业类,,不太喜欢,听说过，不太了解,5,3,4,2,3,4,1,2,2,2,2,3,2,2,5,3,2,3,4,4,2,5,4,4,2,4,3,1,4,4,5,1,1,5,1,5,3,5,4,5,5,5,3,4,3,3,5,3,4,3,"A19,A12,A15","B12,B3,B6","A30,A29,B14,A1,B12",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,学生,服装设计,比较喜欢,听说过，不太了解,5,1,3,1,3,2,3,4,2,4,3,2,3,3,2,4,4,4,3,2,4,3,4,4,4,4,5,3,5,5,4,3,4,4,3,5,3,5,5,4,4,5,3,4,3,5,4,3,5,4,"A9,A25,A8,A22,A14","B8,B4,B6","B9,A29,B5,B7",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,艺术/设计类,,一般,有所了解,4,3,1,3,2,2,3,4,2,3,4,2,5,4,2,5,3,2,3,3,3,4,2,5,4,5,1,3,5,5,5,5,3,5,1,4,2,5,5,4,3,5,3,5,3,3,5,3,4,2,"A9,A13,A35","B12,B6,B14","B1,B9,A30,A1,B12",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,一般,完全不了解,5,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,2,3,3,2,3,3,3,2,3,4,3,4,4,5,5,3,3,5,1,4,3,4,2,4,2,4,2,4,4,1,5,3,5,1,"A4,A18,A9","B4,B12,B2","B14,B9,B7,A26",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
31-35岁,,其他,,非常喜欢,听说过，不太了解,5,3,3,2,3,2,3,1,1,3,3,3,4,2,3,4,4,4,1,2,3,3,1,3,3,4,2,1,4,5,4,4,2,5,3,4,3,4,3,4,3,5,3,5,2,4,5,5,4,4,"A33,A24,A32,A34,A30","B6,B12","B5,B12,B3,B9",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
31-35岁,,金融/商业类,,完全不了解/不感兴趣,完全不了解,5,3,4,1,2,5,4,5,3,3,5,3,4,3,2,1,3,3,2,3,3,4,1,3,1,4,2,3,4,4,4,5,5,4,3,5,1,4,1,5,4,4,1,5,3,3,4,4,4,4,"A3,A14,A15,A13","B14,B4,B7","A31,B1,B12",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,平面设计,比较喜欢,听说过，不太了解,4,1,3,3,4,3,1,3,3,5,3,3,3,3,3,3,4,3,2,2,3,1,3,3,3,5,3,5,5,5,4,3,1,5,3,5,2,5,3,5,5,5,2,5,3,4,5,2,5,2,"A6,A9,A19,A29,A34","B4,B10,B1","B5,B7,A34,B1",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
26-30岁,,学生,数字媒体,比较喜欢,听说过，不太了解,5,5,2,3,4,1,2,1,5,4,3,2,1,3,5,3,3,3,5,3,5,1,4,3,3,5,1,2,5,4,5,3,3,5,4,5,1,5,4,5,4,4,4,4,2,1,4,3,4,2,"A24,A32,A21,A18","B1,B3,B8","A31,B9,A26",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,新媒体/互联网类,,比较喜欢,听说过，不太了解,5,3,5,1,3,3,4,4,1,4,4,2,2,4,2,1,2,1,2,3,2,5,2,3,5,5,3,3,5,5,4,3,4,5,4,5,2,5,3,5,4,5,1,5,3,3,4,4,5,3,"A33,A35,A6,A18,A15","B2,B15","A1,B5,A30,A34",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,平面设计,非常喜欢,有所了解,5,2,4,3,3,3,3,3,4,3,2,4,4,3,3,3,3,3,5,2,3,4,3,4,3,4,4,3,5,4,5,3,2,5,3,4,3,5,2,5,3,4,3,5,5,2,4,1,5,3,"A18,A13,A9,A35","B1,B13,B5","A34,B1,B12,B7",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
26-30岁,,教育/科研类,,比较喜欢,完全不了解,4,3,4,3,1,5,2,2,3,3,4,3,3,3,3,5,4,3,1,5,2,2,2,2,4,5,5,2,5,5,5,4,2,5,3,5,3,5,4,5,1,5,3,4,3,2,5,5,4,3,"A10,A26,A15,A14,A31","B9,B10","B14,B3,B12,A34,A26",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,学生,数字媒体,不太喜欢,有所了解,5,1,2,3,3,4,1,3,2,4,4,3,2,3,2,2,3,5,4,3,3,5,3,3,5,4,1,3,4,4,5,3,5,4,3,4,3,5,3,4,3,5,2,5,3,5,5,4,5,4,"A27,A14,A29,A2,A24","B10,B14","A31,B12,A1",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,平面设计,比较喜欢,听说过，不太了解,5,3,2,3,5,3,3,2,1,3,1,4,3,3,3,5,1,3,5,5,3,3,1,2,3,4,4,3,4,4,5,1,4,5,5,5,4,5,3,5,2,4,4,5,3,3,5,3,5,5,"A27,A28,A26","B6,B10,B1","B14,A1,A29,B9,A34",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
20-25岁,,学生,艺术史,一般,有所了解,5,3,4,1,1,3,3,2,3,5,2,4,4,4,5,3,3,3,3,2,3,2,4,5,4,4,1,4,4,5,5,3,2,4,2,5,5,4,2,5,3,5,2,5,5,4,4,3,5,4,"A5,A35,A25,A13","B2,B6,B10","B9,A31,A26,A29",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
26-30岁,,艺术/设计类,,完全不了解/不感兴趣,非常了解并关注,4,1,4,1,3,3,2,4,1,3,3,3,2,5,5,3,3,3,4,3,1,4,3,3,3,4,5,4,4,5,5,2,3,5,2,4,2,5,3,4,3,4,3,4,3,3,5,4,4,5,"A32,A2,A12,A13,A5","B5,B4,B14","B9,B5,A26,B3",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
31-35岁,,金融/商业类,,比较喜欢,非常了解并关注,5,5,2,3,4,5,2,2,2,3,5,3,5,4,3,1,3,1,3,1,2,3,3,2,4,5,3,4,5,5,4,2,1,5,3,5,2,5,3,4,3,5,4,4,4,1,5,1,5,1,"A11,A21,A27","B3,B2,B15","B1,B3,A26,B14,A30",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,一般,非常了解并关注,5,5,3,4,5,3,3,3,1,3,5,3,5,4,5,5,4,4,4,4,4,4,3,3,2,4,3,4,5,4,5,5,4,5,2,4,3,4,2,5,4,4,3,4,1,4,4,4,5,3,"A31,A11,A20,A13","B5,B4,B1","B3,A26,B1",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
26-30岁,,学生,工业设计,比较喜欢,听说过，不太了解,5,2,3,3,3,4,3,4,1,4,3,1,3,3,2,4,5,3,3,2,5,3,2,3,1,4,1,2,4,5,5,3,3,5,3,4,3,4,3,5,3,5,4,5,4,2,5,3,5,3,"A30,A3,A6,A19","B6,B12,B14","B1,B7,A29,B14",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,金融/商业类,,比较喜欢,非常了解并关注,5,3,3,3,4,1,4,4,3,3,2,2,1,2,3,2,3,3,3,4,3,1,2,4,3,5,4,2,5,5,4,2,3,5,3,5,2,5,4,5,4,4,4,4,4,4,5,2,5,3,"A28,A30,A25,A12,A7","B12,B1,B4","A31,B9,B5",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
其他,47岁,教育/科研类,,比较喜欢,有所了解,4,2,2,2,1,4,3,4,3,4,3,1,3,3,3,4,4,3,4,3,2,3,4,3,5,4,4,4,5,4,4,3,3,5,2,5,2,5,4,4,4,4,3,5,2,2,5,3,4,4,"A14,A32,A27,A8,A24","B13,B2","B14,A34,B1,B3,A29",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
20-25岁,,金融/商业类,,非常喜欢,非常了解并关注,5,1,1,4,3,3,3,3,3,3,5,3,3,1,2,2,3,3,1,4,3,5,3,4,4,5,3,3,5,5,4,3,2,4,1,5,2,5,4,5,5,4,4,4,5,2,5,1,5,2,"A30,A2,A5","B7,B6,B12","A30,B1,A1,B9",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
26-30岁,,教育/科研类,,一般,有所了解,4,3,2,4,2,3,3,3,3,2,1,5,3,4,3,3,2,3,3,3,5,2,4,3,2,4,3,3,4,5,4,3,2,5,2,5,2,4,2,4,4,5,2,4,2,5,5,3,5,4,"A21,A30,A32","B2,B15,B9","A30,B12,B3,A29,B9",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,文化/创意产业类,,非常喜欢,听说过，不太了解,5,3,2,3,3,3,3,3,3,5,4,3,3,3,4,3,4,2,2,2,3,3,2,3,1,4,3,4,5,5,4,2,1,5,3,5,5,4,3,5,4,5,4,5,4,3,4,3,5,3,"A7,A12,A19","B9,B12","A29,A26,B9,A1",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
20-25岁,,学生,数字媒体,比较喜欢,完全不了解,4,3,3,4,4,5,3,4,2,3,4,3,4,3,3,3,3,2,1,4,5,1,3,3,3,5,3,3,5,5,4,3,3,5,3,5,3,5,3,5,3,4,4,4,1,3,4,3,4,4,"A12,A14,A3,A35","B8,B12","B9,B5,B14",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
20-25岁,,教育/科研类,,比较喜欢,非常了解并关注,5,1,1,2,2,4,3,3,5,2,3,4,4,1,3,2,3,3,4,2,2,2,2,1,5,4,2,3,5,5,5,1,4,5,3,5,4,5,2,5,5,5,2,5,1,4,5,3,5,3,"A29,A4,A1,A25","B15,B4","A30,B14,A26,A1",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
31-35岁,,艺术/设计类,,一般,有所了解,5,4,5,1,1,3,3,3,5,2,1,2,4,2,3,3,3,1,3,3,5,4,3,5,1,5,3,3,4,5,4,3,2,5,3,5,4,4,1,4,5,5,4,5,5,3,5,4,5,3,"A13,A5,A15,A7","B12,B3","B1,B5,A26",抽象构图结合现代感，符合年轻人口味,搭配简洁剪裁，突出图案主体性
26-30岁,,金融/商业类,,一般,听说过，不太了解,4,2,4,3,3,2,3,2,3,3,3,5,1,2,1,2,2,4,3,5,1,3,5,2,3,5,3,3,4,5,5,2,5,5,3,5,3,4,3,5,3,5,1,4,3,3,4,4,4,1,"A13,A14,A35,A26,A28","B4,B15","A34,B14,A29",色彩淡雅、笔触灵动，意境深远,在面料上选择质感强烈的织物增强表现力
其他,46岁,新媒体/互联网类,,比较喜欢,非常了解并关注,5,4,3,1,3,2,4,2,4,3,3,4,1,4,2,3,3,4,1,3,3,3,2,3,2,5,4,4,4,5,4,3,5,4,3,5,3,5,2,5,2,5,3,5,2,3,5,2,5,2,"A25,A14,A30","B2,B11","B9,B7,A34,A1",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
20-25岁,,学生,数字媒体,比较喜欢,完全不了解,4,4,3,3,3,5,4,5,4,2,5,5,2,5,3,5,5,4,4,2,2,2,1,3,3,4,4,4,5,5,4,2,3,5,3,5,3,4,4,4,3,5,2,5,3,4,4,4,4,3,"A32,A7,A35,A11","B2,B10,B6","B12,B1,B9,A29,A34",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,视觉传达,比较喜欢,非常了解并关注,5,1,4,2,4,4,3,3,3,5,3,5,3,4,3,4,2,3,3,3,3,3,2,3,3,4,4,1,4,5,5,3,4,5,4,4,4,5,3,4,5,5,4,4,1,3,5,4,4,2,"A5,A22,A2,A29","B9,B11,B12","B5,B7,A1",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,金融/商业类,,完全不了解/不感兴趣,非常了解并关注,5,3,2,4,3,3,3,2,4,3,4,3,2,3,5,5,3,2,4,4,4,1,1,3,2,5,3,4,4,5,5,3,3,5,4,4,4,5,4,5,2,5,4,5,3,5,5,5,5,4,"A20,A16,A28","B10,B2","A29,A34,B3",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,"文化/创意产业类,金融/商业类",,非常喜欢,有所了解,5,3,2,3,3,3,5,3,3,3,4,3,3,3,4,1,2,2,5,1,4,3,3,4,3,5,2,3,5,5,5,5,5,5,3,5,5,5,4,4,2,4,2,5,2,3,4,2,4,5,"A3,A16,A29","B3,B5,B6","B14,A1,B5,B1,A31",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
26-30岁,,其他,,完全不了解/不感兴趣,有所了解,4,3,1,2,3,1,4,4,2,4,4,3,3,2,1,3,3,2,3,5,4,4,4,4,1,5,4,2,5,5,4,2,1,5,1,4,1,5,5,5,2,5,4,5,4,2,4,2,5,3,"A22,A16,A14,A35,A4","B13,B11","B12,A30,B7,B1,B5",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
26-30岁,,时尚/服装类,,非常喜欢,非常了解并关注,5,5,3,4,2,2,3,4,3,3,1,3,5,2,4,4,4,5,3,3,2,3,3,2,5,5,2,2,4,5,5,3,2,4,3,5,2,4,2,5,3,5,3,5,2,1,5,1,4,1,"A1,A5,A32,A13,A4","B4,B3","A29,B7,B5",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,学生,工业设计,一般,有所了解,4,2,3,4,2,4,3,3,3,4,3,1,3,2,5,2,3,2,2,3,3,3,1,4,1,5,3,3,4,5,4,2,3,4,3,5,5,5,2,4,3,5,2,5,2,3,4,4,4,2,"A28,A30,A20","B12,B4","B1,A29,B7",墨色浓淡相宜，富有层次,搭配简洁剪裁，突出图案主体性
20-25岁,,新媒体/互联网类,,非常喜欢,听说过，不太了解,4,3,3,3,1,4,3,5,4,5,3,2,4,4,4,3,3,4,4,1,3,3,1,5,3,5,4,2,5,5,5,3,1,5,3,5,3,5,3,5,4,5,4,4,4,3,5,3,5,2,"A29,A13,A18,A31,A6","B7,B15,B3","B3,B1,B5,B7",色彩饱和度高，具有视觉冲击力,可用于整件服装印花，形成整体风格
20-25岁,,学生,数字媒体,比较喜欢,非常了解并关注,4,2,2,4,3,5,3,4,3,3,3,3,3,4,4,3,5,5,3,4,1,1,1,4,1,4,2,3,5,4,5,2,2,5,5,5,3,5,3,5,3,4,3,5,3,2,5,2,5,3,"A25,A28,A6","B10,B9,B3","B12,A29,A31,B1,B3",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
20-25岁,,学生,平面设计,一般,有所了解,5,3,5,5,4,5,2,5,2,3,2,5,3,3,5,3,3,1,4,5,5,2,2,3,3,4,3,4,5,4,4,2,3,5,3,5,3,5,4,5,3,5,3,5,3,2,5,3,5,4,"A31,A5,A22,A9","B4,B3,B15","A1,B5,A34",色彩饱和度高，具有视觉冲击力,在面料上选择质感强烈的织物增强表现力
20-25岁,,时尚/服装类,,不太喜欢,听说过，不太了解,5,4,4,3,2,3,1,2,5,3,4,3,3,1,5,1,3,2,2,2,3,4,3,3,5,5,4,3,5,5,4,1,2,4,4,5,5,5,4,4,3,5,4,5,3,2,5,4,5,2,"A24,A25,A32,A20","B7,B1","B1,B7,A29",墨色浓淡相宜，富有层次,在面料上选择质感强烈的织物增强表现力
20-25岁,,新媒体/互联网类,,比较喜欢,听说过，不太了解,4,1,4,3,4,3,1,1,2,4,3,5,4,3,5,3,2,4,2,5,5,5,5,3,3,4,4,2,5,5,4,1,3,5,4,5,4,4,3,5,2,5,4,5,3,5,4,5,4,3,"A23,A33,A32,A24,A4","B15,B7,B12","A30,B3,A1",抽象构图结合现代感，符合年轻人口味,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,教育/科研类,,非常喜欢,有所了解,4,2,3,2,2,2,2,3,3,3,2,3,3,3,3,2,2,3,1,3,3,5,3,3,3,4,3,3,5,5,4,2,3,5,2,5,3,5,2,5,4,5,5,5,3,3,4,2,4,3,"A10,A17,A30,A16,A11","B2,B13","B9,B12,B1",色彩饱和度高，具有视觉冲击力,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,工业设计,一般,听说过，不太了解,5,3,2,1,4,2,3,3,5,3,3,3,5,3,1,3,3,1,3,4,3,3,3,3,3,4,1,2,5,5,4,3,5,4,3,4,3,5,4,5,3,5,1,4,5,2,4,3,5,3,"A28,A11,A17","B9,B15,B11","B7,A31,B1,A26",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
26-30岁,,其他,,一般,完全不了解,5,3,4,4,2,2,5,3,3,3,3,4,3,3,1,5,4,4,3,3,4,4,4,3,3,5,3,3,5,5,5,2,4,4,5,4,4,5,1,5,5,4,3,5,2,5,4,3,4,2,"A18,A14,A26","B1,B3,B8","A26,B14,B1",色彩饱和度高，具有视觉冲击力,搭配简洁剪裁，突出图案主体性
20-25岁,,教育/科研类,,非常喜欢,听说过，不太了解,5,2,1,1,2,3,4,5,4,3,3,5,3,3,3,3,3,4,2,1,3,2,3,3,3,5,3,3,5,4,5,3,3,4,3,5,2,5,5,4,1,4,2,4,4,2,5,1,4,2,"A11,A12,A24,A9","B8,B3","A26,B3,B7,A30,A29",墨色浓淡相宜，富有层次,建议用于男装外套局部图案，如胸口或袖口
20-25岁,,学生,视觉传达,一般,听说过，不太了解,4,4,2,2,4,5,4,2,5,3,3,5,4,3,4,3,3,2,5,3,4,3,4,3,3,5,2,3,5,4,4,2,2,5,5,5,1,5,3,5,3,4,3,5,4,4,4,4,5,2,"A13,A17,A27","B11,B10,B2","A29,A26,A31,B12,B1",色彩淡雅、笔触灵动，意境深远,搭配简洁剪裁，突出图案主体性
20-25岁,,学生,服装设计,非常喜欢,有所了解,4,1,4,1,3,3,2,5,3,4,3,4,5,3,3,3,5,2,3,2,5,3,4,4,3,5,3,3,5,4,4,5,2,5,1,5,1,5,1,5,3,5,3,5,4,2,4,1,4,3,"A2,A16,A31,A32","B1,B15","B14,A1,B9,B7",色彩淡雅、笔触灵动，意境深远,建议用于男装外套局部图案，如胸口或袖口
31-35岁,,文化/创意产业类,,比较喜欢,非常了解并关注,5,2,4,2,4,4,3,4,3,2,2,2,3,4,1,5,5,4,5,4,3,3,3,2,2,5,2,5,5,4,4,3,3,4,5,4,3,4,5,5,3,5,3,4,3,2,5,3,5,2,"A1,A25,A34,A18,A32","B13,B6,B10","A34,B14,B9,B12",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,完全不了解/不感兴趣,有所了解,4,4,2,2,2,3,2,4,1,2,3,3,5,5,2,5,3,3,4,5,2,2,3,2,3,5,4,3,4,5,4,4,5,5,3,4,1,5,5,4,1,5,2,4,5,1,4,3,5,3,"A26,A25,A4,A23,A22","B1,B8","B1,B12,A29,A1,A26",抽象构图结合现代感，符合年轻人口味,可用于整件服装印花，形成整体风格
20-25岁,,新媒体/互联网类,,非常喜欢,非常了解并关注,5,4,4,4,4,1,4,4,3,2,3,3,2,3,4,4,1,2,3,4,3,4,1,3,5,5,5,3,5,4,4,2,3,4,4,5,3,4,5,5,4,5,5,5,4,3,5,3,5,3,"A31,A33,A27,A13","B11,B14","A1,B9,A34,B14",抽象构图结合现代感，符合年轻人口味,在面料上选择质感强烈的织物增强表现力
26-30岁,,学生,艺术史,一般,听说过，不太了解,5,3,4,5,3,4,3,5,3,3,3,3,2,4,2,3,3,4,4,4,5,3,4,2,4,4,5,3,4,4,4,3,3,5,3,4,4,4,4,5,3,4,2,5,3,5,5,4,5,2,"A32,A26,A6,A23,A28","B11,B14,B12","B12,B1,A31",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
20-25岁,,学生,工业设计,比较喜欢,有所了解,5,5,4,3,1,3,3,3,3,3,5,1,4,3,4,3,1,2,2,2,4,2,3,2,3,5,3,3,5,4,5,3,2,5,2,5,1,4,3,5,4,4,4,5,3,4,5,1,4,1,"A33,A3,A9,A32,A6","B14,B11,B9","A29,B3,A26,B12",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
26-30岁,,学生,艺术史,比较喜欢,有所了解,5,5,2,3,5,2,3,1,2,5,3,3,2,1,4,3,1,5,3,3,3,1,3,3,2,5,3,4,4,5,5,2,5,5,4,5,1,4,2,5,3,5,2,5,1,3,4,4,5,1,"A6,A7,A28,A2,A11","B15,B7,B13","A30,B12,A31,B3",色彩淡雅、笔触灵动，意境深远,可用于整件服装印花，形成整体风格
26-30岁,,金融/商业类,,比较喜欢,有所了解,4,3,3,3,3,1,2,5,5,4,2,5,2,4,2,3,4,4,4,5,3,3,3,1,4,5,2,1,4,5,4,2,1,4,4,5,3,4,4,5,3,4,5,5,5,3,5,3,5,5,"A32,A6,A22,A15,A5","B7,B12,B14","B12,B1,B9,B5,B14",墨色浓淡相宜，富有层次,可用于整件服装印花，形成整体风格
